x,y,z,status
-9244,-864,12589,1
-9144,-673,12594,1
-9334,-804,12578,1
-9299,-866,12595,1
-9084,-655,12708,1
-9361,-807,12584,1
-9191,-843,12639,1
-9159,-639,12601,1
-9323,-837,12595,1
-9242,-834,12558,1
-9106,-631,12670,1
-9392,-847,12536,1
-9194,-816,12633,1
-9190,-654,12653,1
-9313,-831,12609,1
-9170,-804,12641,1
-9124,-629,12662,1
-9294,-873,12658,1
-9174,-796,12639,1
-9146,-682,12690,1
-9315,-870,12594,1
-9145,-764,12627,1
-9206,-681,12620,1
-9262,-906,12626,1
-9174,-734,12610,1
-9150,-660,12676,1
-9264,-916,12609,1
-9111,-709,12639,1
-9295,-721,12636,1
-9208,-894,12669,1
-9179,-726,12599,1
-9219,-694,12622,1
-9277,-928,12612,1
-9128,-689,12646,1
-9294,-730,12619,1
-9244,-895,12655,1
-9136,-670,12592,1
-9269,-736,12629,1
-9236,-907,12645,1
-9144,-643,12628,1
-9299,-774,12590,1
-9270,-879,12608,1
-9108,-643,12597,1
-9356,-811,12563,1
-9245,-849,12603,1
-9133,-659,12624,1
-9315,-800,12601,1
-9272,-848,12611,1
-9093,-621,12674,1
-9364,-846,12555,1
-9187,-853,12629,1
-9153,-658,12615,1
-9313,-818,12587,1
-9205,-862,12584,1
-9148,-640,12648,1
-9356,-871,12576,1
-9163,-816,12628,1
-9143,-617,12657,1
-9288,-876,12609,1
-9173,-761,12596,1
-9148,-666,12631,1
-9298,-899,12610,1
-9162,-786,12583,1
-9183,-666,12629,1
-9320,-918,12598,1
-9164,-760,12629,1
-9205,-681,12638,1
-9242,-896,12606,1
-9172,-708,12596,1
-9207,-710,12649,1
-9287,-903,12601,1
-9124,-709,12600,1
-9277,-702,12611,1
-9255,-893,12601,1
-9194,-708,12617,1
-9220,-730,12614,1
-9256,-911,12607,1
-9108,-652,12650,1
-9293,-762,12591,1
-9247,-866,12644,1
-9155,-666,12607,1
-9296,-756,12583,1
-9272,-858,12605,1
-9146,-630,12640,1
-9327,-774,12617,1
-9264,-826,12578,1
-9118,-654,12639,1
-9352,-807,12599,1
-9212,-847,12629,1
-9138,-664,12619,1
-9315,-822,12539,1
-9240,-848,12599,1
-9127,-656,12636,1
-9384,-855,12585,1
-9175,-818,12619,1
-9160,-656,12630,1
-9310,-833,12612,1
-9181,-799,12600,1
-9133,-637,12693,1
-9331,-865,12569,1
-9140,-766,12624,1
-9152,-670,12624,1
-9300,-880,12583,1
-9169,-780,12603,1
-9194,-671,12652,1
-9294,-920,12596,1
-9147,-758,12591,1
-9185,-666,12594,1
-9248,-911,12626,1
-9124,-714,12631,1
-9246,-733,12606,1
-9233,-894,12627,1
-9177,-711,12607,1
-9243,-701,12653,1
-9304,-889,12567,1
-9125,-642,12611,1
-9274,-718,12602,1
-9196,-887,12644,1
-9134,-679,12630,1
-9260,-758,12645,1
-9274,-877,12575,1
-9120,-667,12660,1
-9328,-791,12541,1
-9236,-856,12617,1
-9142,-655,12594,1
-9325,-794,12619,1
-9237,-861,12625,1
-9075,-628,12645,1
-9356,-842,12616,1
-9218,-824,12630,1
-9141,-634,12641,1
