18:13:33:084 -> X -7528;Y 1676;Z 7094
18:13:33:104 -> X -6647;Y -1575;Z 17289
18:13:33:125 -> X -14393;Y -2554;Z 13499
18:13:33:145 -> X -9372;Y 1414;Z 6451
18:13:33:165 -> X -5352;Y -823;Z 16212
18:13:33:185 -> X -13631;Y -2897;Z 14980
18:13:33:204 -> X -11273;Y 987;Z 6240
18:13:33:224 -> X -4266;Y -95;Z 14731
18:13:33:245 -> X -12781;Y -3021;Z 16182
18:13:33:265 -> X -12888;Y 546;Z 6332
18:13:33:284 -> X -3589;Y 742;Z 12903
18:13:33:305 -> X -11784;Y -3002;Z 17110
18:13:33:324 -> X -14135;Y 40;Z 6957
18:13:33:350 -> X -3723;Y 1263;Z 11098
18:13:33:365 -> X -10694;Y -2934;Z 17781
18:13:33:385 -> X -14856;Y -541;Z 7997
18:13:33:404 -> X -4285;Y 1641;Z 9496
18:13:33:425 -> X -9553;Y -2663;Z 18049
18:13:33:444 -> X -15152;Y -1285;Z 9694
18:13:33:464 -> X -5547;Y 1785;Z 8183
18:13:33:485 -> X -8227;Y -2242;Z 18009
18:13:33:505 -> X -15057;Y -1900;Z 11431
18:13:33:524 -> X -7138;Y 1708;Z 7239
18:13:33:545 -> X -7007;Y -1748;Z 17527
18:13:33:565 -> X -14537;Y -2470;Z 13202
18:13:33:584 -> X -9018;Y 1509;Z 6500
18:13:33:605 -> X -5644;Y -1008;Z 16536
18:13:33:625 -> X -13820;Y -2795;Z 14664
18:13:33:645 -> X -10993;Y 1054;Z 6283
18:13:33:665 -> X -4558;Y -285;Z 15037
18:13:33:685 -> X -12866;Y -3006;Z 16027
18:13:33:704 -> X -12660;Y 659;Z 6199
18:13:33:725 -> X -3723;Y 577;Z 13265
18:13:33:745 -> X -11875;Y -3021;Z 17038
18:13:33:765 -> X -13988;Y 152;Z 6869
18:13:33:785 -> X -3583;Y 1215;Z 11342
18:13:33:805 -> X -10755;Y -2975;Z 17703
18:13:33:825 -> X -14833;Y -478;Z 7874
18:13:33:845 -> X -4247;Y 1594;Z 9590
18:13:33:865 -> X -9613;Y -2665;Z 18068
18:13:33:885 -> X -15153;Y -1160;Z 9460
18:13:33:905 -> X -5264;Y 1796;Z 8293
18:13:33:925 -> X -8364;Y -2340;Z 18064
18:13:33:945 -> X -15116;Y -1836;Z 11197
18:13:33:965 -> X -6821;Y 1748;Z 7342
18:13:33:984 -> X -7094;Y -1757;Z 17616
18:13:34:005 -> X -14735;Y -2367;Z 12855
18:13:34:024 -> X -8614;Y 1470;Z 6656
18:13:34:044 -> X -5726;Y -1070;Z 16721
18:13:34:065 -> X -14008;Y -2665;Z 14351
18:13:34:085 -> X -10738;Y 923;Z 6366
18:13:34:105 -> X -4409;Y -290;Z 15348
18:13:34:125 -> X -13181;Y -2836;Z 15630
18:13:34:145 -> X -12622;Y 431;Z 6246
18:13:34:165 -> X -3623;Y 493;Z 13640
18:13:34:185 -> X -12173;Y -2849;Z 16738
18:13:34:204 -> X -14050;Y 15;Z 6702
18:13:34:225 -> X -3335;Y 1142;Z 11736
18:13:34:245 -> X -11088;Y -2850;Z 17541
18:13:34:264 -> X -14925;Y -544;Z 7619
18:13:34:284 -> X -3860;Y 1522;Z 10005
18:13:34:305 -> X -9863;Y -2565;Z 18022
18:13:34:325 -> X -15364;Y -1070;Z 8996
18:13:34:344 -> X -5006;Y 1618;Z 8640
18:13:34:365 -> X -8537;Y -2213;Z 18134
18:13:34:385 -> X -15216;Y -1695;Z 10828
18:13:34:404 -> X -6579;Y 1518;Z 7532
18:13:34:425 -> X -7106;Y -1684;Z 17742
18:13:34:445 -> X -14816;Y -2223;Z 12599
18:13:34:464 -> X -8695;Y 1230;Z 6833
18:13:34:485 -> X -5578;Y -991;Z 16837
18:13:34:505 -> X -13972;Y -2547;Z 14219
18:13:34:525 -> X -10936;Y 770;Z 6383
18:13:34:545 -> X -4365;Y -347;Z 15462
18:13:34:565 -> X -13063;Y -2763;Z 15604
18:13:34:585 -> X -12860;Y 377;Z 6209
18:13:34:604 -> X -3447;Y 479;Z 13649
18:13:34:625 -> X -11927;Y -2847;Z 16797
18:13:34:644 -> X -14187;Y 51;Z 6581
18:13:34:664 -> X -3450;Y 1041;Z 11780
18:13:34:685 -> X -10848;Y -2788;Z 17600
18:13:34:705 -> X -14996;Y -391;Z 7354
18:13:34:725 -> X -3840;Y 1473;Z 10087
18:13:34:744 -> X -9702;Y -2635;Z 18017
18:13:34:765 -> X -15334;Y -965;Z 8854
18:13:34:785 -> X -4974;Y 1636;Z 8734
18:13:34:805 -> X -8432;Y -2315;Z 18114
18:13:34:825 -> X -15296;Y -1545;Z 10532
18:13:34:844 -> X -6521;Y 1579;Z 7630
18:13:34:864 -> X -7169;Y -1827;Z 17801
18:13:34:897 -> X -14834;Y -2090;Z 12315
18:13:34:904 -> X -8615;Y 1310;Z 6902
18:13:34:925 -> X -5796;Y -1233;Z 17084
18:13:34:945 -> X -14061;Y -2437;Z 13954
18:13:34:965 -> X -10759;Y 869;Z 6442
18:13:34:984 -> X -4711;Y -592;Z 15862
18:13:35:005 -> X -13182;Y -2748;Z 15424
18:13:35:025 -> X -12592;Y 519;Z 6122
18:13:35:045 -> X -3773;Y 148;Z 14216
18:13:35:065 -> X -12222;Y -2791;Z 16539
18:13:35:085 -> X -13899;Y 188;Z 6369
18:13:35:105 -> X -3506;Y 833;Z 12369
18:13:35:125 -> X -11083;Y -2859;Z 17468
18:13:35:145 -> X -14837;Y -211;Z 7009
18:13:35:165 -> X -3729;Y 1338;Z 10643
18:13:35:185 -> X -10016;Y -2678;Z 17967
18:13:35:205 -> X -15272;Y -747;Z 8266
18:13:35:224 -> X -4534;Y 1649;Z 9090
18:13:35:245 -> X -8794;Y -2486;Z 18188
18:13:35:265 -> X -15381;Y -1321;Z 9885
18:13:35:285 -> X -5910;Y 1626;Z 7989
18:13:35:305 -> X -7570;Y -2080;Z 17986
18:13:35:325 -> X -15034;Y -1883;Z 11605
18:13:35:344 -> X -7779;Y 1420;Z 7139
18:13:35:365 -> X -6319;Y -1485;Z 17401
18:13:35:385 -> X -14425;Y -2295;Z 13283
18:13:35:412 -> X -9900;Y 1122;Z 6526
18:13:35:424 -> X -5041;Y -847;Z 16395
18:13:35:445 -> X -13562;Y -2662;Z 14824
18:13:35:464 -> X -11908;Y 620;Z 6244
18:13:35:484 -> X -4088;Y -164;Z 14883
18:13:35:505 -> X -12574;Y -2759;Z 16164
18:13:35:524 -> X -13441;Y 336;Z 6134
18:13:35:544 -> X -3434;Y 631;Z 13036
18:13:35:565 -> X -11594;Y -2829;Z 17079
18:13:35:584 -> X -14546;Y -144;Z 6838
18:13:35:605 -> X -3614;Y 1127;Z 11286
18:13:35:625 -> X -10400;Y -2702;Z 17804
18:13:35:645 -> X -15164;Y -580;Z 7812
18:13:35:665 -> X -4272;Y 1565;Z 9562
18:13:35:685 -> X -9202;Y -2514;Z 18097
18:13:35:705 -> X -15358;Y -1184;Z 9483
18:13:35:725 -> X -5570;Y 1689;Z 8244
18:13:35:745 -> X -7865;Y -2160;Z 18073
18:13:35:765 -> X -15134;Y -1751;Z 11280
18:13:35:784 -> X -7483;Y 1427;Z 7317
18:13:35:805 -> X -6567;Y -1616;Z 17559
18:13:35:825 -> X -14465;Y -2251;Z 13129
18:13:35:844 -> X -9655;Y 1148;Z 6514
18:13:35:865 -> X -5220;Y -946;Z 16548
18:13:35:885 -> X -13655;Y -2632;Z 14703
18:13:35:904 -> X -11778;Y 665;Z 6277
18:13:35:933 -> X -4118;Y -188;Z 15005
18:13:35:945 -> X -12607;Y -2804;Z 16090
18:13:35:964 -> X -13329;Y 382;Z 6116
18:13:35:984 -> X -3505;Y 587;Z 13210
18:13:36:005 -> X -11595;Y -2834;Z 17080
18:13:36:024 -> X -14492;Y -62;Z 6704
18:13:36:044 -> X -3509;Y 1194;Z 11363
18:13:36:065 -> X -10427;Y -2785;Z 17849
18:13:36:084 -> X -15107;Y -532;Z 7677
18:13:36:105 -> X -4241;Y 1567;Z 9587
18:13:36:125 -> X -9277;Y -2512;Z 18112
18:13:36:144 -> X -15340;Y -1163;Z 9292
18:13:36:165 -> X -5340;Y 1654;Z 8346
18:13:36:185 -> X -7976;Y -2209;Z 18106
18:13:36:205 -> X -15150;Y -1718;Z 11049
18:13:36:224 -> X -7181;Y 1495;Z 7415
18:13:36:245 -> X -6732;Y -1697;Z 17662
18:13:36:266 -> X -14629;Y -2200;Z 12808
18:13:36:284 -> X -9249;Y 1190;Z 6654
18:13:36:305 -> X -5537;Y -1109;Z 16799
18:13:36:325 -> X -13856;Y -2507;Z 14392
